No,Name of Scheme,Head_of_Account,2016_17  Rupees_in_Lakhs,2017_18,2018_19,2019_20,2020_21
1,Directorate of Agriculture or Commissionerate of Agriculture,2401_00_001_1_01,2486,6011,5507,6217,7302
2,Unspent SCSP TSP Amount as per the SCSP TSP Act 2013,2401_00_001_1_75,2545,5103,208,1777,141
3,Krishi Bhagya Yojane,2401_00_102_0_27,20000,60000,50000,25000,4000
4,Other Agricultural Schemes or Farmers Incentive and Support Schemes,2401_00_102_0_28,10000,7270,10000,24119,1188
5,Seed Farms  ,2401_00_103_0_01,0,433,426,492,528
6,Supply of Seeds and Other Inputs,2401_00_103_0_15,69780,72359,61530,62823,52103
7,Agriculture Farms And Development Centres,2401_00_104_0_10,0,169,140,165,225
8,Organic  Farming,2401_00_104_0_12,5657,4000,10000,8700,4850
9,Farm Related  Activities or Agriculture Training and Extension,2401_00_109_0_21,8712,9870,7264,5402,5433
10,Sub Mission on Agriculture Extension,2401_00_109_0_34,0,0,0,0,3586
11,Project for Agricultural Training of Farm Women and Youth,2401_00_109_0_80,0,383,383,481,532
12,New Crop Insurance Scheme,2401_00_110_0_07,67538,84511,84511,84500,90000
13,Pradhan Mantri Kisan Samman Nidhi Yojane,2401_00_800_0_05,0,0,0,0,260000
14,Budget for Vacant posts,2401_00_800_1_70,0,464,464,464,2460
15,Additional Budget for Salaries 6th pay commission,2401_00_800_1_71,0,0,3714,24000,0
16,Income support to Farmers through DBT,2401_00_800_1_72,0,0,100000,0,0
17,Soil Survey and Testing,2402_00_101_0_01,0,36,35,40,33
,Revenue Total,,186718,255609,340247,250245,434048
1,Capital Outlay,4401_00_001_1_01,5209,1500,632,5120,848
2,Agricultural Engineering,4401_00_113_0_01,0,0,1300,0,0
3,Development of Agriculture Technical Clusters in Kolar Chitradurga Koppal and Gadag District on  Israel Model,4401_00_108_0_01,0,0,15000,14592,0
4,Karnataka Antaraganga Micro Irrigation Corporation,4401_00_800_1_04,0,0,200,0,0
,Capital Total,,5209,1500,17132,19712,848
,Total State Sector,,191927,257109,357379,269557,434896
,DISTRICT SECTOR,,,,,,
1,Assist to ZPs ISOPOM Oilseeds,2401_00_196_1_13,650,687,687,687,0
2,ZP Establishment,2435_00_101_0_27,0,5383,6549,5863,7532
3,Other Agricultural Schemes,2435_00_101_0_29,779,854,962,1041,0
4,Farm Related Activities,2435_00_101_0_31,463,498,522,555,0
5,Agricuture Office buildings,2435_00_101_0_33,505,551,634,653,653
6,Organic Mannures Scheme,2435_00_101_0_34,241,262,307,336,0
7,Agriculture Training Schools,2435_00_101_0_37,0,226,237,253,245
8,Agricultural Farms and Agriculture Development Centers,2435_00_101_0_40,57,68,70,65,0
9,Crop Survey Equipments,2435_00_101_0_41,17,13,11,17,0
10,Taluk Panchayath Establishment,2435_00_101_0_61,0,10344,13039,11381,13669
11,Assistance to Farmers,2435_00_101_0_63,204,214,238,274,0
12,Agriculture Afarirs and Exhibitions,2435_00_101_0_65,50,52,69,73,0
,Total District Sector,,2966,19152,23325,21198,22099
,Grand Total,,194893,276261,380704,290755,456995
